
Convergence over periods
periods, Call Naive, Call Antithetic, Call Strat_Sampling, Call Control Variates, Put Naive, Put Antithetic, Put Strat_Sampling, Put Control Variates
4,4.62706,4.56299,6.92389,4.70646,8.91633,8.86481,11.2062,8.70117
8,6.3225,5.97944,6.73658,5.84673,10.1525,10.049,11.2994,9.74175
16,7.2519,6.855,6.66693,6.88311,10.4809,10.5199,11.4087,10.7603
32,7.39737,7.35412,6.93103,7.57835,11.1834,11.0523,11.2654,11.4005
64,7.70594,8.10513,6.92904,7.69182,11.2912,11.5055,11.1158,11.3922
128,8.41013,8.22352,6.65578,8.58787,11.7926,11.7369,11.2814,11.6799
256,8.99123,8.45095,6.72447,8.08624,11.9512,11.9493,11.2016,11.5512
512,8.57881,8.67541,6.92916,8.72805,11.9681,11.9712,11.1431,12.0948
1024,8.46157,8.46997,6.8846,8.19085,11.9676,12.125,11.2589,12.3431
2048,8.62038,8.63419,6.92174,8.5849,12.1915,12.025,11.2906,12.5189
